Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-06-16 00:00:00-04:00,9.259900605019729,9.259900605019729,8.821273920169938,8.9089994430542,175900,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,9.162428604395224,9.162428604395224,8.77253838149094,8.938241958618164,426600,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,8.977230351053809,9.0064718833271,8.733548746442763,8.814451217651367,263400,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,8.772538275634988,8.870011294970684,8.73354925381503,8.850516319274902,242700,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,8.782284866022986,8.967482468349578,8.753042405467594,8.889504432678223,519500,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,8.98697831427173,8.98697831427173,8.636076190122802,8.811527252197266,576400,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,8.811527234787844,8.996724854722629,8.75304323768804,8.801779747009277,486400,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,8.902177151640368,8.928494253019826,8.714054170863658,8.76279067993164,252800,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,8.772538565509082,8.772538565509082,8.548351915029345,8.68968677520752,350400,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,8.645823645031582,8.821274706438622,8.34365896102123,8.790082931518555,350300,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,8.821273871358152,8.942139547606024,8.645822826560474,8.870010375976562,505800,0.0,0.0,0.0
2025-09-01 00:00:00-04:00,8.870011231887649,8.967483320958525,8.665318636395732,8.801779747009277,692500,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,8.723801748856456,8.947014200448683,8.675065239284198,8.840768814086914,453100,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,8.860263742761825,8.967483319594965,8.714054214820345,8.803729057312012,365900,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,8.821274979384553,9.094198138128991,8.694560423288872,9.016220092773438,315600,0.117,0.0,0.0
2025-09-29 00:00:00-04:00,9.121473287978164,9.151089139562204,8.904296025007984,9.081986427307129,419900,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,9.091858655069169,9.180704329648384,8.726604947364324,8.73647689819336,254300,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,8.81545049768067,8.983269893644477,8.696989913725226,8.76905345916748,269100,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,8.983269941875228,8.983269941875228,8.736476821949436,8.848027229309082,315800,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,8.874679982396646,8.894423883027686,8.726604493427843,8.785834312438965,560100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,8.82532157545627,9.066192090378042,8.756219802972623,9.047435760498047,367100,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,9.111601846741758,9.200447523577857,8.993141258107318,9.131345748901367,453100,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,9.180703993616245,9.249805764008126,8.904295970607702,8.983269691467285,211700,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,9.05237210497283,9.27942133321429,8.914167612929498,9.269550323486328,196700,0.0,0.0,0.0
2025-12-01 00:00:00-05:00,9.200447243159198,9.407753502311289,9.13035789893454,9.29719066619873,201600,0.0,0.0,0.0
2025-12-08 00:00:00-05:00,9.298177028675623,9.328779510344463,8.953653864516472,9.022756576538086,472400,0.0,0.0,0.0
2025-12-15 00:00:00-05:00,8.983270188340606,8.99314119791327,8.805578835857757,8.8529634475708,380100,0.0,0.0,0.0
2025-12-22 00:00:00-05:00,8.864808101168213,8.993140631947124,8.835193191431852,8.884552001953125,350200,0.0,0.0,0.0
2025-12-29 00:00:00-05:00,8.983269604159638,9.070140131396284,8.825321222534544,8.864808082580566,1002900,0.117,0.0,0.0
2026-01-05 00:00:00-05:00,9.1899995803833,9.210000038146973,8.84000015258789,8.9350004196167,517300,0.0,0.0,0.0
2026-01-12 00:00:00-05:00,8.90999984741211,9.189000129699707,8.90999984741211,9.100000381469727,291500,0.0,0.0,0.0
2026-01-19 00:00:00-05:00,9.199999809265137,9.380000114440918,9.050999641418457,9.310999870300293,870300,0.0,0.0,0.0
2026-01-26 00:00:00-05:00,9.260000228881836,9.550000190734863,9.204999923706055,9.529999732971191,453100,0.0,0.0,0.0
2026-02-02 00:00:00-05:00,9.4399995803833,9.661999702453613,9.300000190734863,9.600000381469727,400000,0.0,0.0,0.0
2026-02-09 00:00:00-05:00,9.640000343322754,9.984000205993652,9.529999732971191,9.960000038146973,271300,0.0,0.0,0.0
2026-02-16 00:00:00-05:00,9.920000076293945,10.0600004196167,9.819999694824219,10.010000228881836,202700,0.0,0.0,0.0
2026-02-23 00:00:00-05:00,10.130000114440918,10.449999809265137,9.760000228881836,10.170000076293945,580174,0.0,0.0,0.0
