Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-10-28 00:00:00-04:00,24.13790504446258,24.195906946379388,23.770568884599168,24.05573844909668,115700,0.0,0.0,0.0
2024-11-04 00:00:00-05:00,24.21523711909513,24.40857308899862,23.712566916165276,23.78700065612793,92100,0.0,0.0,0.0
2024-11-11 00:00:00-05:00,23.857570983919537,23.857570983919537,23.20023081579904,23.414833068847656,270400,0.0,0.0,0.0
2024-11-18 00:00:00-05:00,23.469930734961906,25.80058821090658,23.294962579332108,23.51923179626465,430700,0.0,0.0,0.0
2024-11-25 00:00:00-05:00,23.818900584135957,23.818900584135957,23.20989539947297,23.609132766723633,284900,0.0,0.0,0.0
2024-12-02 00:00:00-05:00,23.751233911759876,23.983235978239232,23.451564806364274,23.804401397705078,184400,0.0,0.0,0.0
2024-12-09 00:00:00-05:00,24.036405100960085,24.036405100960085,23.5018336133312,23.55790138244629,127000,0.0,0.0,0.0
2024-12-16 00:00:00-05:00,23.345231061310084,23.499899113757756,22.339888720400232,22.77392578125,315700,0.0,0.0,0.0
2024-12-23 00:00:00-05:00,22.98756128692582,23.36456442454313,22.600889322018393,23.103561401367188,148500,0.0,0.0,0.0
2024-12-30 00:00:00-05:00,22.90056099506513,23.05522904834755,22.81355998462019,22.973060607910156,167500,0.127,0.0,0.0
2025-01-06 00:00:00-05:00,23.3338897147131,23.460228159170263,22.87712536488971,22.900447845458984,155700,0.0,0.0,0.0
2025-01-13 00:00:00-05:00,22.8382489063199,23.58656644301722,22.78965762882565,23.464113235473633,150000,0.0,0.0,0.0
2025-01-20 00:00:00-05:00,23.71290461699571,24.03069609120558,23.644876087793403,23.966554641723633,96800,0.0,0.0,0.0
2025-01-27 00:00:00-05:00,24.004458889089484,24.364038803061028,23.955865756364627,24.02195167541504,85200,0.0,0.0,0.0
2025-02-03 00:00:00-05:00,26.424340547148546,26.424340547148546,23.460226265204703,24.422348022460938,154500,0.0,0.0,0.0
2025-02-10 00:00:00-05:00,24.490378920560442,25.228975996347476,24.490378920560442,25.112356185913086,367500,0.0,0.0,0.0
2025-02-17 00:00:00-05:00,25.403908294984532,25.403908294984532,24.966581212842204,25.20954132080078,274400,0.0,0.0,0.0
2025-02-24 00:00:00-05:00,25.27756968762791,25.70517999383178,25.15122939428566,25.345598220825195,949200,0.0,0.0,0.0
2025-03-03 00:00:00-05:00,25.72461476325928,26.56039810180664,25.054046220769308,26.56039810180664,566800,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,26.28828346644431,26.336876601192877,25.782927840529098,26.327157974243164,333300,0.0,0.0,0.0
2025-03-17 00:00:00-04:00,26.618709012053838,26.958853536188858,26.278566341557347,26.385467529296875,372000,0.0,0.0,0.0
2025-03-24 00:00:00-04:00,26.531243208219482,26.745049290845888,26.089055883203777,26.171663284301758,190800,0.0,0.0,0.0
2025-03-31 00:00:00-04:00,25.996729901909568,26.035604406462596,23.635157505826854,23.70318603515625,177100,0.0,0.0,0.0
2025-04-07 00:00:00-04:00,23.693468329671596,24.679887604192174,22.70219252235078,24.65559196472168,291300,0.0,0.0,0.0
2025-04-14 00:00:00-04:00,24.80136929685409,25.598278187522084,24.7819320425357,25.355318069458008,252000,0.0,0.0,0.0
2025-04-21 00:00:00-04:00,25.48554357318068,26.346593856811523,25.141511982349485,26.346593856811523,356300,0.0,0.0,0.0
2025-04-28 00:00:00-04:00,26.44377818155589,26.782951408655755,26.210536692228,26.749908447265625,70600,0.0,0.0,0.0
2025-05-05 00:00:00-04:00,26.74504813379778,26.803358038519402,26.521525287666186,26.696455001831055,188200,0.0,0.0,0.0
2025-05-12 00:00:00-04:00,26.99772700158596,27.235826861744883,26.900542590778084,27.230968475341797,152900,0.0,0.0,0.0
2025-05-19 00:00:00-04:00,27.405900752603564,27.707170765622227,27.20667353943402,27.435054779052734,114100,0.0,0.0,0.0
